id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,direccion_entrega
194,C0194,DNI,43412401,Lucía,Rojas Palomino,lucía194@correo.com,962939153,La Molina,Tienda virtual,2026-02-07,Av. El Sol 1614
195,C0195,DNI,25686226,Manuel,Villanueva Chávez,manuel195@correo.com,990868556,Chorrillos,Pyme,2026-02-03,Av. Brasil 1581
196,C0196,DNI,33257911,Miguel,Rojas Quispe,miguel196@correo.com,936867579,San Borja,Cliente corporativo,2026-03-17,Av. Los Pinos 1079
197,C0197,RUC,44134937,Ana,Chávez Rivera,ana197@correo.com,917154786,Miraflores,Persona natural,2026-03-01,Av. El Sol 2018
198,C0198,CE,78883126,Fernando,Vargas Torres,fernando198@correo.com,937609547,Villa El Salvador,Tienda virtual,2026-02-08,Av. Grau 2489
199,C0199,DNI,31630012,Isabel,Bautista Espinoza,isabel199@correo.com,970644047,Villa El Salvador,Pyme,2026-01-18,Av. Brasil 689
200,C0200,DNI,705733,Karla,Villanueva Flores,karla200@correo.com,969718791,San Miguel,Cliente corporativo,2026-01-09,Av. El Sol 1563
201,C0201,DNI,46834046,Diego,Mendoza Zevallos,diego97@correo.com,959467533,Lince,Persona natural,2026-03-02,Av. Brasil 1563
202,C0202,CE,38808304,Álvaro,Sánchez Castillo,álvaro53correo.com,999292945,San Borja,Tienda virtual,2026-02-01,Av. La Marina 1319
203,C0203,CE,95134711,Karla,Cruz Zevallos,karla190@correo.com,955514037,La Molina,Pyme,2026-05-28,Av. La Marina 2104
204,C0204,DNI,88201466,Óscar,Lévano Chávez,óscar13@correo.com,941624908,San Borja,Cliente corporativo,2026-03-17,Av. Grau 523
205,C0205,DNI,94923384,Álvaro,Flores Ríos,álvaro152@correo.com,987047081,Callao,Persona natural,2026-05-27,Av. Grau 226
206,C0206,DNI,75666782,Lucía,Vargas Cruz,lucía110@correo.com,,Los Olivos,Tienda virtual,2026-05-26,Av. El Sol 1103
207,C0207,DNI,55435843,Ricardo,Sánchez Cruz,,952168876,San Borja,Pyme,2026-03-02,Av. Los Pinos 456
208,C0208,DNI,69679240,Carmen,Cornejo Díaz,carmen93@correo.com,995654191,Los Olivos,Cliente corporativo,2026-04-28,Av. Los Pinos 946
