id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,diagnostico
195,C0195,DNI,21820178,Julia,Ninaquispe Torres,julia195@correo.com,974471585,Rímac,Paciente asegurado,2026-03-20,Infección respiratoria aguda
196,C0196,CE,90044316,Hugo,Quispe Vargas,hugo196@correo.com,,Comas,Programa preventivo,2026-04-04,Gastritis
197,C0197,DNI,84479673,Álvaro,Salazar Villanueva,álvaro197@correo.com,950645166,San Borja,Paciente particular,2026-04-26,Lumbalgia
198,C0198,CE,67581806,María,Rojas Huamán,maría198@correo.com,956172165,Surco,Paciente EPS,2026-05-11,Migraña
199,C0199,DNI,22506999,Hugo,Mendoza Cornejo,hugo199@correo.com,996575099,Miraflores,Paciente asegurado,2026-02-01,Dermatitis alérgica
200,C0200,CE,53481264,Sofía,Zevallos Ponce,sofía200@correo.com,956242125,San Miguel,Programa preventivo,2026-03-17,Anemia ferropénica
201,C0201,DNI,610633,Julia,Flores Ramos,julia85@correo.com,973141699,Rímac,Paciente particular,2026-04-03,Asma bronquial
202,C0202,RUC,14005183,Fernando,Díaz Ramos,fernando139@correo.com,945241799,Ate,Paciente EPS,2026-03-27,Dislipidemia
203,C0203,DNI,89411902,Carlos,Torres Espinoza,carlos48@correo.com,975391188,Surco,Paciente asegurado,2026-05-25,Artrosis de rodilla
204,C0204,DNI,32629609,Natalia,Díaz Flores,,920335397,Miraflores,Programa preventivo,2026-04-26,Infección urinaria
205,C0205,RUC,14355828,Melissa,Castillo Sánchez,melissa91@correo.com,916690978,Chorrillos,Paciente particular,2026-05-23,Hipertensión arterial
206,C0206,DNI,61541494,Carlos,Cruz Lévano,carlos131@correo.com,976481785,Villa El Salvador,Paciente EPS,2026-01-04,Diabetes mellitus tipo 2
207,C0207,RUC,32029320,Luis,Salazar Cruz,luis10@correo.com,987734895,Ate,Paciente asegurado,2026-04-15,Infección respiratoria aguda
208,C0208,DNI,95883289,Renzo,Flores Ninaquispe,renzo125@correo.com,,Lince,Programa preventivo,2026-02-21,Gastritis
