id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,direccion_delivery
191,C0191,DNI,16158014,Iván,Bautista Vargas,iván191@correo.com,910675916,Ate,Cliente frecuente,2026-03-21,Av. Grau 831
192,C0192,DNI,50439470,Pamela,Flores Cárdenas,pamela192@correo.com,985080220,,Cuenta corporativa,2026-04-03,Av. Grau 1737
193,C0193,CE,44884213,Daniela,Ponce Castillo,daniela193@correo.com,975135109,Los Olivos,Cliente de salón,2026-04-14,Av. La Marina 2185
194,C0194,DNI,34797234,Carlos,Villanueva Rivera,carlos194correo.com,934693136,Surco,Cliente delivery,2026-05-18,Av. Los Pinos 2472
195,C0195,DNI,10104833,Rosa,Huamán Rivera,rosa195@correo.com,953710173,La Molina,Cliente frecuente,2026-04-10,Av. La Marina 1655
196,C0196,CE,26082668,Julia,Rojas Bautista,julia196@correo.com,987770456,Ate,Cuenta corporativa,2026-03-16,Av. Grau 343
197,C0197,DNI,56599986,María,Chávez Palomino,maría197@correo.com,912740502,Independencia,Cliente de salón,2026-01-02,Av. La Marina 1368
198,C0198,DNI,46881959,Fernando,Cruz Lévano,fernando198@correo.com,971610767,Surco,Cliente delivery,2026-02-21,Av. Los Pinos 471
199,C0199,DNI,91252631,Natalia,Ramos Vargas,natalia199@correo.com,998258852,San Borja,Cliente frecuente,2026-04-25,Av. Brasil 344
200,C0200,DNI,76441403,Óscar,Ponce Gutiérrez,óscar200@correo.com,977447780,Villa El Salvador,Cuenta corporativa,2026-03-21,Av. Brasil 2457
201,C0201,DNI,33735908,Manuel,Salazar Lévano,manuel111@correo.com,933717306,Surco,Cliente de salón,2026-02-08,Av. Los Pinos 1739
202,C0202,DNI,16394878,Rosa,Rojas Vargas,rosa122@correo.com,934608547,Independencia,Cliente delivery,2026-02-18,Av. Grau 684
203,C0203,RUC,81658846,Óscar,Ríos Bautista,óscar75@correo.com,960286021,Ate,Cliente frecuente,2026-04-11,Av. El Sol 2153
204,C0204,RUC,10484339,Pamela,Castillo Romero,pamela119@correo.com,952603225,Rímac,Cuenta corporativa,2026-01-02,Av. Brasil 833
205,C0205,DNI,14877084,José,Chávez Cruz,josé128@correo.com,932147017,Chorrillos,Cliente de salón,2026-05-23,Av. Brasil 350
206,C0206,CE,55979469,Hugo,Lévano Chávez,hugo35@correo.com,,La Molina,Cliente delivery,2026-01-17,Av. Brasil 1422
207,C0207,DNI,35587460,Ricardo,Zevallos Aguirre,ricardo72@correo.com,976972590,Ate,Cliente frecuente,2026-02-19,Av. Brasil 2055
208,C0208,RUC,90654843,Iván,Villanueva Chávez,iván13@correo.com,912272374,Chorrillos,Cuenta corporativa,2026-03-12,Av. Los Pinos 399
